FIPS_Code,State,Area_Name,Attribute,Value,Dataset
6009,CA,Calaveras County,POVALL_2023,5639.0,poverty
6009,CA,Calaveras County,CI90LBALL_2023,4559.0,poverty
6009,CA,Calaveras County,CI90UBALL_2023,6719.0,poverty
6009,CA,Calaveras County,PCTPOVALL_2023,12.2,poverty
6009,CA,Calaveras County,CI90LBALLP_2023,9.9,poverty
6009,CA,Calaveras County,CI90UBALLP_2023,14.5,poverty
6009,CA,Calaveras County,POV017_2023,1228.0,poverty
6009,CA,Calaveras County,CI90LB017_2023,873.0,poverty
6009,CA,Calaveras County,CI90UB017_2023,1583.0,poverty
6009,CA,Calaveras County,PCTPOV017_2023,15.5,poverty
6009,CA,Calaveras County,CI90LB017P_2023,11.0,poverty
6009,CA,Calaveras County,CI90UB017P_2023,20.0,poverty
6009,CA,Calaveras County,POV517_2023,897.0,poverty
6009,CA,Calaveras County,CI90LB517_2023,621.0,poverty
6009,CA,Calaveras County,CI90UB517_2023,1173.0,poverty
6009,CA,Calaveras County,PCTPOV517_2023,15.2,poverty
6009,CA,Calaveras County,CI90LB517P_2023,10.5,poverty
6009,CA,Calaveras County,CI90UB517P_2023,19.9,poverty
6009,CA,Calaveras County,MEDHHINC_2023,77041.0,poverty
6009,CA,Calaveras County,CI90LBINC_2023,69437.0,poverty
6009,CA,Calaveras County,CI90UBINC_2023,84645.0,poverty
6011,CA,Colusa County,Rural_Urban_Continuum_Code_2023,6.0,poverty
6011,CA,Colusa County,POVALL_2023,2677.0,poverty
6011,CA,Colusa County,CI90LBALL_2023,2093.0,poverty
6011,CA,Colusa County,CI90UBALL_2023,3261.0,poverty
6011,CA,Colusa County,PCTPOVALL_2023,12.3,poverty
6011,CA,Colusa County,CI90LBALLP_2023,9.6,poverty
6011,CA,Colusa County,CI90UBALLP_2023,15.0,poverty
6011,CA,Colusa County,POV017_2023,833.0,poverty
6011,CA,Colusa County,CI90LB017_2023,568.0,poverty
6011,CA,Colusa County,CI90UB017_2023,1098.0,poverty
6011,CA,Colusa County,PCTPOV017_2023,14.2,poverty
6011,CA,Colusa County,CI90LB017P_2023,9.7,poverty
6011,CA,Colusa County,CI90UB017P_2023,18.7,poverty
6011,CA,Colusa County,POV517_2023,605.0,poverty
6011,CA,Colusa County,CI90LB517_2023,402.0,poverty
6011,CA,Colusa County,CI90UB517_2023,808.0,poverty
6011,CA,Colusa County,PCTPOV517_2023,13.6,poverty
6011,CA,Colusa County,CI90LB517P_2023,9.0,poverty
6011,CA,Colusa County,CI90UB517P_2023,18.2,poverty
6011,CA,Colusa County,MEDHHINC_2023,66675.0,poverty
6011,CA,Colusa County,CI90LBINC_2023,58759.0,poverty
6011,CA,Colusa County,CI90UBINC_2023,74591.0,poverty
6013,CA,Contra Costa County,Rural_Urban_Continuum_Code_2023,1.0,poverty
6013,CA,Contra Costa County,POVALL_2023,95369.0,poverty
6013,CA,Contra Costa County,CI90LBALL_2023,86108.0,poverty
6013,CA,Contra Costa County,CI90UBALL_2023,104630.0,poverty
6013,CA,Contra Costa County,PCTPOVALL_2023,8.3,poverty
6013,CA,Contra Costa County,CI90LBALLP_2023,7.5,poverty
6013,CA,Contra Costa County,CI90UBALLP_2023,9.1,poverty
6013,CA,Contra Costa County,POV017_2023,25049.0,poverty
6013,CA,Contra Costa County,CI90LB017_2023,20927.0,poverty
6013,CA,Contra Costa County,CI90UB017_2023,29171.0,poverty
6013,CA,Contra Costa County,PCTPOV017_2023,10.1,poverty
6013,CA,Contra Costa County,CI90LB017P_2023,8.4,poverty
6013,CA,Contra Costa County,CI90UB017P_2023,11.8,poverty
6013,CA,Contra Costa County,POV517_2023,17298.0,poverty
6013,CA,Contra Costa County,CI90LB517_2023,14043.0,poverty
6013,CA,Contra Costa County,CI90UB517_2023,20553.0,poverty
6013,CA,Contra Costa County,PCTPOV517_2023,9.2,poverty
6013,CA,Contra Costa County,CI90LB517P_2023,7.5,poverty
6013,CA,Contra Costa County,CI90UB517P_2023,10.9,poverty
6013,CA,Contra Costa County,MEDHHINC_2023,122000.0,poverty
6013,CA,Contra Costa County,CI90LBINC_2023,117837.0,poverty
6013,CA,Contra Costa County,CI90UBINC_2023,126163.0,poverty
6015,CA,Del Norte County,Rural_Urban_Continuum_Code_2023,7.0,poverty
6015,CA,Del Norte County,POVALL_2023,3408.0,poverty
6015,CA,Del Norte County,CI90LBALL_2023,2432.0,poverty
6015,CA,Del Norte County,CI90UBALL_2023,4384.0,poverty
6015,CA,Del Norte County,PCTPOVALL_2023,13.8,poverty
6015,CA,Del Norte County,CI90LBALLP_2023,9.8,poverty
6015,CA,Del Norte County,CI90UBALLP_2023,17.8,poverty
6015,CA,Del Norte County,POV017_2023,1138.0,poverty
6015,CA,Del Norte County,CI90LB017_2023,740.0,poverty
6015,CA,Del Norte County,CI90UB017_2023,1536.0,poverty
6015,CA,Del Norte County,PCTPOV017_2023,21.0,poverty
6015,CA,Del Norte County,CI90LB017P_2023,13.7,poverty
6015,CA,Del Norte County,CI90UB017P_2023,28.3,poverty
6015,CA,Del Norte County,POV517_2023,804.0,poverty
6015,CA,Del Norte County,CI90LB517_2023,510.0,poverty
6015,CA,Del Norte County,CI90UB517_2023,1098.0,poverty
6015,CA,Del Norte County,PCTPOV517_2023,19.6,poverty
6015,CA,Del Norte County,CI90LB517P_2023,12.4,poverty
6015,CA,Del Norte County,CI90UB517P_2023,26.8,poverty
6015,CA,Del Norte County,MEDHHINC_2023,70231.0,poverty
6015,CA,Del Norte County,CI90LBINC_2023,65951.0,poverty
6015,CA,Del Norte County,CI90UBINC_2023,74511.0,poverty
6017,CA,El Dorado County,Rural_Urban_Continuum_Code_2023,1.0,poverty
6017,CA,El Dorado County,POVALL_2023,13438.0,poverty
6017,CA,El Dorado County,CI90LBALL_2023,11009.0,poverty
6017,CA,El Dorado County,CI90UBALL_2023,15867.0,poverty
6017,CA,El Dorado County,PCTPOVALL_2023,7.0,poverty
6017,CA,El Dorado County,CI90LBALLP_2023,5.7,poverty
6017,CA,El Dorado County,CI90UBALLP_2023,8.3,poverty
