FIPS_Code,State,Area_Name,Attribute,Value,Dataset
6089,CA,Shasta County,"Percent of adults completing some college or associate degree, 2008-12",42.87673032,education
6089,CA,Shasta County,"Percent of adults with a bachelor's degree or higher, 2008-12",19.26550518,education
6089,CA,Shasta County,"Less than high school graduate, 2019-23",10229.0,education
6089,CA,Shasta County,"High school graduate (or equivalency), 2019-23",34012.0,education
6089,CA,Shasta County,"Some college or associate degree, 2019-23",54735.0,education
6089,CA,Shasta County,"Bachelor's degree or higher, 2019-23",30011.0,education
6089,CA,Shasta County,"Percent of adults who are not high school graduates, 2019-23",7.930256537,education
6089,CA,Shasta County,"Percent of adults who are high school graduates (or equivalent), 2019-23",26.36854877,education
6089,CA,Shasta County,"Percent of adults completing some college or associate degree, 2019-23",42.4345089,education
6089,CA,Shasta County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.26668579,education
6091,CA,Sierra County,2013 Urban Influence Code,7.0,education
6091,CA,Sierra County,2024 Urban Influence Code,6.0,education
6091,CA,Sierra County,2013 Rural-urban Continuum Code,8.0,education
6091,CA,Sierra County,2023 Rural-urban Continuum Code,8.0,education
6091,CA,Sierra County,"Less than a high school diploma, 1970",626.0,education
6091,CA,Sierra County,"High school diploma only, 1970",541.0,education
6091,CA,Sierra County,"Some college (1-3 years), 1970",195.0,education
6091,CA,Sierra County,"Four years of college or higher, 1970",141.0,education
6091,CA,Sierra County,"Percent of adults with less than a high school diploma, 1970",41.7,education
6091,CA,Sierra County,"Percent of adults with a high school diploma only, 1970",36.0,education
6091,CA,Sierra County,"Percent of adults completing some college (1-3 years), 1970",13.0,education
6091,CA,Sierra County,"Percent of adults completing four years of college or higher, 1970",9.4,education
6091,CA,Sierra County,"Less than a high school diploma, 1980",449.0,education
6091,CA,Sierra County,"High school diploma only, 1980",751.0,education
6091,CA,Sierra County,"Some college (1-3 years), 1980",482.0,education
6091,CA,Sierra County,"Four years of college or higher, 1980",368.0,education
6091,CA,Sierra County,"Percent of adults with less than a high school diploma, 1980",21.9,education
6091,CA,Sierra County,"Percent of adults with a high school diploma only, 1980",36.6,education
6091,CA,Sierra County,"Percent of adults completing some college (1-3 years), 1980",23.5,education
6091,CA,Sierra County,"Percent of adults completing four years of college or higher, 1980",18.0,education
6091,CA,Sierra County,"Less than high school graduate, 1990",618.0,education
6091,CA,Sierra County,"High school graduate (or equivalency), 1990",702.0,education
6091,CA,Sierra County,"Some college or associate degree, 1990",801.0,education
6091,CA,Sierra County,"Bachelor's degree or higher, 1990",400.0,education
6091,CA,Sierra County,"Percent of adults who are not high school graduates, 1990",24.5,education
6091,CA,Sierra County,"Percent of adults who are high school graduates (or equivalent), 1990",27.8,education
6091,CA,Sierra County,"Percent of adults completing some college or associate degree, 1990",31.8,education
6091,CA,Sierra County,"Percent of adults with a bachelor's degree or higher, 1990",15.9,education
6091,CA,Sierra County,"Less than high school graduate, 2000",375.0,education
6091,CA,Sierra County,"High school graduate (or equivalency), 2000",730.0,education
6091,CA,Sierra County,"Some college or associate degree, 2000",999.0,education
6091,CA,Sierra County,"Bachelor's degree or higher, 2000",436.0,education
6091,CA,Sierra County,"Percent of adults who are not high school graduates, 2000",14.8,education
6091,CA,Sierra County,"Percent of adults who are high school graduates (or equivalent), 2000",28.7,education
6091,CA,Sierra County,"Percent of adults completing some college or associate degree, 2000",39.3,education
6091,CA,Sierra County,"Percent of adults with a bachelor's degree or higher, 2000",17.2,education
6091,CA,Sierra County,"Less than high school graduate, 2008-12",243.0,education
6091,CA,Sierra County,"High school graduate (or equivalency), 2008-12",849.0,education
6091,CA,Sierra County,"Some college or associate degree, 2008-12",968.0,education
6091,CA,Sierra County,"Bachelor's degree or higher, 2008-12",412.0,education
6091,CA,Sierra County,"Percent of adults who are not high school graduates, 2008-12",9.830097087,education
6091,CA,Sierra County,"Percent of adults who are high school graduates (or equivalent), 2008-12",34.34466019,education
6091,CA,Sierra County,"Percent of adults completing some college or associate degree, 2008-12",39.15857605,education
6091,CA,Sierra County,"Percent of adults with a bachelor's degree or higher, 2008-12",16.66666667,education
6091,CA,Sierra County,"Less than high school graduate, 2019-23",188.0,education
6091,CA,Sierra County,"High school graduate (or equivalency), 2019-23",740.0,education
6091,CA,Sierra County,"Some college or associate degree, 2019-23",723.0,education
6091,CA,Sierra County,"Bachelor's degree or higher, 2019-23",533.0,education
6091,CA,Sierra County,"Percent of adults who are not high school graduates, 2019-23",8.608058608,education
6091,CA,Sierra County,"Percent of adults who are high school graduates (or equivalent), 2019-23",33.88278388,education
6091,CA,Sierra County,"Percent of adults completing some college or associate degree, 2019-23",33.1043956,education
6091,CA,Sierra County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.4047619,education
6093,CA,Siskiyou County,2013 Urban Influence Code,6.0,education
6093,CA,Siskiyou County,2024 Urban Influence Code,8.0,education
6093,CA,Siskiyou County,2013 Rural-urban Continuum Code,6.0,education
6093,CA,Siskiyou County,2023 Rural-urban Continuum Code,7.0,education
6093,CA,Siskiyou County,"Less than a high school diploma, 1970",8418.0,education
6093,CA,Siskiyou County,"High school diploma only, 1970",7038.0,education
6093,CA,Siskiyou County,"Some college (1-3 years), 1970",2450.0,education
6093,CA,Siskiyou County,"Four years of college or higher, 1970",1461.0,education
6093,CA,Siskiyou County,"Percent of adults with less than a high school diploma, 1970",43.5,education
6093,CA,Siskiyou County,"Percent of adults with a high school diploma only, 1970",36.3,education
6093,CA,Siskiyou County,"Percent of adults completing some college (1-3 years), 1970",12.7,education
6093,CA,Siskiyou County,"Percent of adults completing four years of college or higher, 1970",7.5,education
6093,CA,Siskiyou County,"Less than a high school diploma, 1980",6056.0,education
6093,CA,Siskiyou County,"High school diploma only, 1980",9690.0,education
6093,CA,Siskiyou County,"Some college (1-3 years), 1980",5579.0,education
6093,CA,Siskiyou County,"Four years of college or higher, 1980",3491.0,education
6093,CA,Siskiyou County,"Percent of adults with less than a high school diploma, 1980",24.4,education
6093,CA,Siskiyou County,"Percent of adults with a high school diploma only, 1980",39.0,education
6093,CA,Siskiyou County,"Percent of adults completing some college (1-3 years), 1980",22.5,education
6093,CA,Siskiyou County,"Percent of adults completing four years of college or higher, 1980",14.1,education
6093,CA,Siskiyou County,"Less than high school graduate, 1990",6565.0,education
6093,CA,Siskiyou County,"High school graduate (or equivalency), 1990",9156.0,education
6093,CA,Siskiyou County,"Some college or associate degree, 1990",9161.0,education
